Name,Ingredients_List,Ingredients_Names,Procedure,Nutrition_Facts
shallot-vinaigrette,"['1  large shallot (minced)', '2 tablespoons hot water', '¼ cup white wine vinegar', '2 tablespoons finely chopped chives', '1 garlic clove (minced)', '½ cup extra virgin olive oil', '2 teaspoons dijon mustard', '2 teaspoons honey', '1 teaspoon sea salt  or kosher salt', '¼ teaspoon freshly ground black pepper']","['large shallot', 'hot water', 'white wine vinegar', 'finely chopped chives', 'garlic clove', 'extra virgin olive oil', 'dijon mustard', 'honey', 'sea salt', 'freshly ground black pepper']","['In a measuring cup, add the shallots and hot water. Then stir in the white wine vinegar, and let it sit while you prep the chives and garlic.', 'To the measuring cup, add the olive oil, dijon mustard, honey, salt, pepper, and garlic. Whisk everything together until it’s emulsified. Add the chives, and whisk again. Give it a taste, and adjust seasoning to taste.']","['6', 'Calories: 173kcal (9%)', 'Carbohydrates: 3g (1%)', 'Protein: 0.3g (1%)', 'Fat: 18g (28%)', 'Saturated Fat: 2g (10%)', 'Polyunsaturated Fat: 2g', 'Monounsaturated Fat: 13g', 'Sodium: 408mg (17%)', 'Potassium: 28mg (1%)', 'Fiber: 0.3g (1%)', 'Sugar: 2g (2%)', 'Vitamin A: 45IU (1%)', 'Vitamin C: 1mg (1%)', 'Calcium: 6mg (1%)', 'Iron: 0.3mg (2%)']"
sesame-tofu,"['2 blocks firm or extra firm tofu (anywhere from 14-16 oz./400-450g per package is fine, as tofu blocks vary)', '2/3 cup cornstarch', '1/4 cup un-toasted sesame seeds', '¾ teaspoon fine sea salt', '½ teaspoon white pepper', '½ teaspoon garlic powder', '½ teaspoon onion powder', '¼ cup neutral oil (such as vegetable, canola, or avocado oil)', '2 garlic cloves (minced)', '¾ cup water (low-sodium vegetable stock, or low-sodium chicken stock)', '3 tablespoons sugar (brown sugar also works)', '1½ tablespoons vegetarian oyster sauce (or regular oyster sauce)', '1 tablespoon light soy sauce', '1 tablespoon honey', '1 tablespoon Shaoxing wine (or clear rice wine)', '1½ teaspoons rice vinegar', '1½ teaspoons sesame oil', '⅛ teaspoon white pepper', '2 teaspoons cornstarch', '1 tablespoon water', '1 teaspoon toasted sesame seeds', '½ scallion (green parts only, thinly sliced)']","['firm or extra firm tofu', 'cornstarch', 'un-toasted sesame seeds', 'fine sea salt', 'white pepper', 'garlic powder', 'onion powder', 'neutral oil', 'garlic cloves', 'water', 'sugar', 'vegetarian oyster sauce', 'light soy sauce', 'honey', 'Shaoxing wine', 'rice vinegar', 'sesame oil', 'white pepper', 'cornstarch', 'water', 'toasted sesame seeds', 'scallion']","['Drain each block of tofu. Using your hands, gently squeeze the block to release water. You can also pat it dry on a clean dishcloth. Cut each block into 1-inch (3cm) cubes.', 'In a shallow bowl, combine the cornstarch, sesame seeds, sea salt, white pepper, garlic powder, and onion powder. Working in 2 batches, dredge the tofu cubes in the cornstarch mixture. It doesn’t have to be perfect, but do your best to cover all sides and press the mixture into the tofu cubes evenly.', 'Heat a large nonstick pan or cast-iron skillet over medium-high heat. Add the neutral oil. When the oil is shimmering, add half the tofu cubes. Fry for 4 to 5 minutes per side, until golden brown and crispy. As they get golden, you can flip them a few times to get all the sides crispy. Again, it doesn’t have to be perfect, and it’s easier than it sounds. Transfer the tofu to a plate, and repeat with the second batch. Remove all the tofu to a plate.', 'In the same skillet, make the sauce. Add the minced garlic and cook for 1 minute. Add the water/stock, sugar, vegetarian oyster sauce, light soy sauce, honey, Shaoxing wine, rice vinegar, sesame oil, and white pepper. Bring to a simmer, and simmer for 3 minutes.', 'Combine the cornstarch and water into a slurry. Add it to the sauce, and let it thicken and cook for another minute. Toss the tofu in the sauce. Serve, sprinkled with sesame seeds and scallions.']","['6', 'Calories: 358kcal (18%)', 'Carbohydrates: 29g (10%)', 'Protein: 15g (30%)', 'Fat: 20g (31%)', 'Saturated Fat: 2g (10%)', 'Polyunsaturated Fat: 9g', 'Monounsaturated Fat: 9g', 'Trans Fat: 0.04g', 'Sodium: 592mg (25%)', 'Potassium: 54mg (2%)', 'Fiber: 2g (8%)', 'Sugar: 9g (10%)', 'Vitamin A: 11IU', 'Vitamin C: 1mg (1%)', 'Calcium: 261mg (26%)', 'Iron: 3mg (17%)']"
pork-belly-char-siu,"['2 pounds boneless skinless pork belly (if trimming your pork belly at home, save the bones and skins for soup!)', '3 tablespoons granulated sugar', '1½ teaspoons salt', '¼ teaspoon white pepper', '¼ teaspoon five spice powder', '1 tablespoon hoisin sauce', '1 tablespoon Shaoxing wine', '2 teaspoons light soy sauce', '½ teaspoon sesame oil', '1 clove garlic (minced)', '4 to 5 drops of red food coloring (optional)', '1 tablespoon maltose or honey', '1 tablespoon hot water']","['boneless skinless pork belly', 'granulated sugar', 'salt', 'white pepper', 'five spice powder', 'hoisin sauce', 'Shaoxing wine', 'light soy sauce', 'sesame oil', 'garlic', 'drops of red food coloring', 'maltose or honey', 'hot water']","['If you have a larger piece of pork belly, cut it lengthwise into long 1½- to 2-inch (4-5cm) thick strips.', 'Make the marinade in a large bowl by combining the sugar, salt, white pepper, five spice powder, hoisin sauce, Shaoxing wine, light soy sauce, sesame oil, and minced garlic. Add the pork belly, and use your hands to work the marinade into the strips. Cover and marinate in the refrigerator overnight.', 'Arrange a rack in the middle of the oven and preheat to 400°F/205°C. Prepare a sheet pan with heavy duty aluminum foil and a flat wire rack. Lay the pork belly strips on the rack, and add just enough water to thinly cover the bottom of the sheet pan (about 1-1½ cups/250-350ml). Set aside the leftover marinade in the bowl.', 'Roast for 40 minutes. While that’s happening, mix the maltose with hot water in a small bowl to dissolve. Mix in the remaining marinade. You’ll use this mixture for basting.', 'After the first 40 minutes, baste the pork belly pieces with a brush, flip and baste the other side. Return to the oven for 20 minutes. Baste again generously, turn over to baste the other side and return to the oven for another 10 minutes.', 'If desired, you can baste one more time, and broil the pork belly for a few minutes to crisp up the surface. Remove from the oven and rest for 10 minutes on the counter.', 'To serve, slice the pork belly into ½- to ¾-inch thick (1-2cm) pieces, and enjoy with steamed rice and a side of green vegetables!']","['6', 'Calories: 682kcal (34%)', 'Carbohydrates: 11g (4%)', 'Protein: 15g (30%)', 'Fat: 81g (125%)', 'Saturated Fat: 29g (145%)', 'Polyunsaturated Fat: 9g', 'Monounsaturated Fat: 38g', 'Cholesterol: 109mg (36%)', 'Sodium: 785mg (33%)', 'Potassium: 294mg (8%)', 'Fiber: 0.2g (1%)', 'Sugar: 10g (11%)', 'Vitamin A: 16IU', 'Vitamin C: 1mg (1%)', 'Calcium: 12mg (1%)', 'Iron: 1mg (6%)']"
red-bean-zongzi,"['2 pounds sweet rice (also known as sticky rice or glutinous rice; about 4 1/2 cups)', '3 tablespoons lye water (potassium carbonate solution)', '1 tablespoon neutral oil (such as vegetable, canola, or avocado oil)', '1 cup dried red adzuki beans', '26 dried bamboo or reed leaves (2 per zongzi, with a couple extra in case of tearing)', 'Sugar, maple syrup, or honey (to serve with the zongzi)']","['sweet rice', 'lye water', 'neutral oil', 'dried red adzuki beans', 'dried bamboo or reed leaves', 'Sugar, maple syrup, or honey']","['In a large, fine mesh strainer, rinse the sweet rice, agitating it with your hands until the water runs clear. You can also do this in a large bowl, changing the water out a few times. The rice will expand about 20-30%, so make sure your bowl is large enough. Transfer the rice to a large bowl with enough water so that the water line is ½-inch above the rice. Stir in the lye water and oil. Once the lye water hits the fresh water, both the rice and water will turn a light yellow color. Cover and soak in the refrigerator overnight.', 'In a large basin (or your kitchen sink), soak the bamboo leaves overnight. Weigh the leaves down with something heavy to make sure all the leaves are submerged.', 'Rinse and soak the red beans in a bowl of water overnight.', 'Clean each bamboo leaf, front and back, with a clean kitchen towel, shaking off any excess water and trimming off about a half inch of the leaf at the base (this part is too tough to fold). Set aside.', 'Take the soaked rice out of the refrigerator, and drain off all of the liquid. Drain the soaked red beans, and combine with the rice. Mix well.', 'Take two bamboo leaves and follow the steps shown in the photos to wrap them. Start by layering the two leaves together so they’re overlapping, and folding up the bottom to create a cone. Fill with the rice/bean mixture. (Each dumpling will take about ¾ – 1 cup of the mixture.) Fold the two sides into the middle lengthwise, cupping your hands at the bottom of the cone so it doesn’t fall apart. Pinch the leaves at the top to start closing them around the rice, and fold down over the rice. Tie the bundle securely with kitchen string, not tying too tightly so the rice has room to expand during cooking.', 'To cook in an Instant Pot: Neatly nest the zongzi in the Instant Pot, minimizing gaps. Fill the pot until it’s no more than 2 inches below the max fill line. Put the metal steamer rack that came with your pot on top of the zongzi, to keep them in place during cooking. Fill with water just until you reach the max fill line. (If you have fewer zongzi, simply cover with at least 2 inches of water.) Cover the Instant Pot and lock the lid in place. Set on manual high pressure for 1 hour, and allow the pressure to release naturally. Be sure all pressure is released before safely opening the lid.', 'To cook on the stove: If you don’t have an Instant Pot, arrange the zongzi neatly in a stockpot, and fill with water about one inch above the top of the zongzi. Add 1½ teaspoons of lye water to the pot, and place a heat-proof dish on top of everything to weigh down the zongzi. Bring the water to a boil, and then reduce the heat to medium. Cook, covered, for 2½ to 3 hours. Check the water levels periodically, replenishing the pot with boiling water when the water line falls below the top of zongzi. Turn off the heat. Do not touch the pot, and let the contents cool gradually until they zongzi are just shy of room temperature but still warm. This step allows them to continue cooking in the residual heat.', 'Serve the zongzi warm or at room temperature with sugar, maple syrup, or honey!']","['12', 'Calories: 344kcal (17%)', 'Carbohydrates: 72g (24%)', 'Protein: 8g (16%)', 'Fat: 2g (3%)', 'Saturated Fat: 0.2g (1%)', 'Polyunsaturated Fat: 0.5g', 'Monounsaturated Fat: 1g', 'Trans Fat: 0.01g', 'Sodium: 6mg', 'Potassium: 264mg (8%)', 'Fiber: 4g (16%)', 'Vitamin A: 3IU', 'Calcium: 19mg (2%)', 'Iron: 2mg (11%)']"
stir-fry-spinach,"['1 pound spinach (preferably Taiwanese spinach)', '3 tablespoons neutral oil (such as canola, vegetable, or avocado oil)', '2-3 cloves garlic (minced)', 'Salt to taste', '¼ teaspoon white pepper', '1 teaspoon sesame oil']","['spinach', 'neutral oil', 'garlic', 'Salt to taste', 'white pepper', 'sesame oil']","['Wash spinach clean by soaking a few times and agitating it in the water to loosen any sand or debris. Each time you soak the spinach, lift it out of the water into a colander rather than pouring it, so the dirt and sand stays at the bottom of the bowl.', 'Shake the excess water off your washed spinach or run it through a salad spinner. Cut the spinach into 3-4 inch pieces, keeping the root end of the stems separate from the leaves and tender parts of the stem. Don’t trim away the root unless it feels very woody.', 'Heat your carbon steel wok or skillet over medium high until it’s just lightly smoking (this doesn’t apply to nonstick pans). Add the oil, followed by the garlic and the root portions of the spinach, which take a bit longer to cook. Increase the heat to high, cook for a minute, then add the rest of the spinach.', 'Stir-fry everything well, letting the spinach wilt. Add the salt, white pepper, and sesame oil. Stir-fry until the spinach is completely wilted but still bright green. Transfer to a dish and serve.']","['4', 'Calories: 130kcal (7%)', 'Carbohydrates: 5g (2%)', 'Protein: 3g (6%)', 'Fat: 12g (18%)', 'Saturated Fat: 1g (5%)', 'Polyunsaturated Fat: 4g', 'Monounsaturated Fat: 7g', 'Trans Fat: 0.04g', 'Sodium: 235mg (10%)', 'Potassium: 639mg (18%)', 'Fiber: 3g (12%)', 'Sugar: 0.5g (1%)', 'Vitamin A: 10633IU (213%)', 'Vitamin C: 32mg (39%)', 'Calcium: 115mg (12%)', 'Iron: 3mg (17%)']"
gluten-free-scallion-pancakes,"[""15 rice paper wrappers (that you'd use for Vietnamese spring rolls/summer rolls)"", '5 scallions very thinly sliced', 'A few small pinches salt', '1 small egg beaten', '3 tablespoons neutral oil such as canola, vegetable, or avocado oil']","['rice paper wrappers', 'scallions', 'A few small pinches salt', 'small egg', 'neutral oil']","['Fill a 9-inch pie plate (or other shallow dish that will fit a rice paper wrap) with cold water. Dip one of the rice papers in the water, shaking off the excess. Lay it on a large plate. Sprinkle a tablespoon of scallions over the top, with an equal mix of both white and green parts. Then dip another rice paper sheet in water and lay it over the scallions. Sprinkle the scallions over once more. Dip a third rice paper roll in the water and lay it over the top. Add another sprinkling of scallions. This time, sprinkle a very small pinch of salt evenly over the scallions. Add a fourth rice paper, more scallions, and top with the fifth and final rice paper.', 'Using a pastry brush, brush a very thin layer of beaten egg over the top of the pancake. Heat a nonstick skillet over medium-high heat. Add 1 tablespoon of oil. When the oil is heated and coats the surface of the pan easily, carefully peel the pancake off the plate and place in the preheated pan egg side down. Brush the other side of the pancake with a thin layer of egg. Fry for 2-3 minutes on each side until golden brown, flipping once. Enjoy immediately!', 'Repeat with the remaining two pancakes, keeping the pan on the lowest heat setting while you assemble, and then increasing the heat to medium-high when you’re ready to cook again.']","['3', 'Calories: 428kcal (21%)', 'Carbohydrates: 57g (19%)', 'Protein: 12g (24%)', 'Fat: 17g (26%)', 'Saturated Fat: 2g (10%)', 'Polyunsaturated Fat: 5g', 'Monounsaturated Fat: 10g', 'Trans Fat: 0.1g', 'Cholesterol: 63mg (21%)', 'Sodium: 761mg (32%)', 'Potassium: 153mg (4%)', 'Fiber: 2g (8%)', 'Sugar: 1g (1%)', 'Vitamin A: 292IU (6%)', 'Vitamin C: 4mg (5%)', 'Calcium: 67mg (7%)', 'Iron: 4mg (22%)']"
st-paul-sandwich,"['4 to 6 cups neutral oil (such as vegetable, canola, or peanut oil, for frying. Alternatively, pan-fry the patties.)', '8 ounces cooked protein (diced or shredded, such as Chinese roast pork/char siu, ham, shrimp, leftover chicken, etc.)', '1 medium onion (diced, about 1½ cups, 6 ounces, or 165g)', '2 cups mung bean sprouts', '¼ teaspoon sesame oil', '1 teaspoon cornstarch', '6 large eggs', '1 tablespoons neutral oil', '1 tablespoon all-purpose flour', '¼ teaspoon turmeric', '¼ teaspoon paprika', '1 small clove garlic minced', '1 small shallot or red onion, minced', '1½ cups low-sodium chicken stock divided', '1 tablespoon oyster sauce', '1 teaspoon light soy sauce', '¼ teaspoon dark soy sauce', '¼ teaspoon sesame oil', '¼ teaspoon white pepper or to taste', '5 teaspoons cornstarch mixed into a slurry with ¼ cup chicken stock or water', '2 slices white bread per sandwich 12 slices for 6 patties', 'Mayonnaise to taste', 'Lettuce leaves e.g., romaine, butter/bibb, or iceberg', '1-2 large tomatoes thinly sliced', '1 handful of dill pickle chips 4-5 slices per sandwich', '1 scallion chopped']","['neutral oil', 'cooked protein', 'medium onion', 'mung bean sprouts', 'sesame oil', 'cornstarch', 'large eggs', 'neutral oil', 'all-purpose flour', 'turmeric', 'paprika', 'small clove garlic', 'small shallot', 'low-sodium chicken stock', 'oyster sauce', 'light soy sauce', 'dark soy sauce', 'sesame oil', 'white pepper', 'cornstarch', 'white bread per sandwich', 'Mayonnaise', 'Lettuce leaves', 'large tomatoes', 'handful of dill pickle chips', 'scallion']","['If you’re making the gravy, make it first. Heat a skillet over medium heat. Add the oil and flour. Whisk to combine, and cook the raw flavor out for a couple of minutes. Whisk in the turmeric and paprika. Cook for a minute or so. Whisk in the minced garlic and shallot. Cook for 1 minute, then whisk in the chicken stock, oyster sauce, light soy sauce, dark soy sauce, sesame oil, and white pepper.', 'Make your cornstarch slurry by combining the cornstarch and water (stir well before adding, as the cornstarch settles quickly). Drizzle it into the gravy mixture, whisking constantly. The gravy should be on the thicker side so it won’t immediately seep into the bread of the sandwich. Remove from the heat and cover until you’re ready to serve the sandwiches.', 'In a wok or deep pot, add your frying oil (it should be at a depth of a few inches). Heat the oil to 350°F/175°C. The oil temp will lower when you drop the egg mixture in, and the optimal frying temperature is 325°F/160°F. Use a thermometer to check and maintain the temperature. When your oil is close to the target temperature (NOT BEFORE), make your batter.', 'To a large mixing bowl, add the cooked protein, diced onion, and mung bean sprouts. Add the sesame oil and cornstarch, and crack the eggs into the bowl just before you’re ready to fry. Use a large soup ladle to fold the mixture together until just combined. The eggs should look slightly beaten and only just mixed with the rest of the ingredients. Do not overmix.', 'By now, your oil should be at the right temperature. Fill your ladle with about ¾ cup of the mixture, and tilt the ladle close to the oil, starting from the edge where the oil meets the wok. Slowly pour the batter in, with the ladle barely touching the oil. Prolonged contact between the ladle and the oil will cause the egg to cook while it’s in the ladle and stick, and you won’t have a smooth drop for the next patty. Once the patty has released from the ladle, you can push it away from the edge. Repeat to drop in two to three scoops of the mixture. Take a break to quickly clean and dry the ladle if needed.', 'Fry the patties for 40 seconds. Gently ladle some hot oil on top of each patty to help them set more quickly. When each patty is solid and turning golden brown on the bottom, flip (in the same order you dropped them in). Fry for 1 more minute.', 'Scoop each patty onto a mesh strainer (first in, first out), giving it a few taps and a gentle squeeze to remove excess oil. Place each patty on a wire rack (or paper towel) on a sheet pan to drain. Repeat to cook all 6 patties. If you’re not serving with the gravy, lightly sprinkle salt over the fried patties.', 'To build a sandwich, spread a good amount of mayonnaise on each slice of bread. Add a leaf of lettuce to each piece, and top one of the bread slices with an egg foo young patty. Spread a spoonful of gravy over the top. Then add the sliced tomato, pickles, and a sprinkle of chopped scallion. Cover with the other piece of bread, cut in half, and serve with gravy on the side.', 'You can dip the sandwich into a little ramekin of gravy or pour it over each bite to your heart’s content!']","['6', 'Calories: 480kcal (24%)', 'Carbohydrates: 35g (12%)', 'Protein: 22g (44%)', 'Fat: 28g (43%)', 'Saturated Fat: 6g (30%)', 'Polyunsaturated Fat: 8g', 'Monounsaturated Fat: 13g', 'Trans Fat: 0.1g', 'Cholesterol: 189mg (63%)', 'Sodium: 1042mg (43%)', 'Potassium: 451mg (13%)', 'Fiber: 3g (12%)', 'Sugar: 6g (7%)', 'Vitamin A: 575IU (12%)', 'Vitamin C: 10mg (12%)', 'Calcium: 158mg (16%)', 'Iron: 4mg (22%)']"
chive-egg-pockets,"['2⅓ cups all purpose flour (plus more for rolling)', '1½ teaspoon salt (divided)', '½ teaspoon five spice powder', '½ cup room temperature water', '½ cup boiling water', '3 cups chopped garlic chives (divided)', '4 eggs (divided)', '4 tablespoons oil']","['all purpose flour', 'salt', 'five spice powder', 'room temperature water', 'boiling water', 'chopped garlic chives', 'eggs', 'oil']","['Mix the flour, ½ teaspoon salt, and five spice powder in a heatproof bowl. Pour the room temperature water over half the flour mixture in the bowl and use chopsticks or a spatula to mix with half the flour until a shaggy dough forms. Then mix the boiling water with the other half of the flour and mix.', 'Once cool enough to handle, combine both doughs and knead for 8 minutes until smooth, adding flour as necessary if the dough is too sticky. Cover the dough with an overturned bowl, and allow the dough to rest at room temperature for 30 minutes.', 'Divide the dough into 4 equal pieces. Knead and roll each piece out into a large circle 11-12 inches in diameter.', 'Toss ¾ cup of chopped chives with 1/4 teaspoon salt, and beat 1 egg into it. Spread over half the pancake, leaving a ½ inch (1.2cm) border. Fold the dough in half and press to seal. Heat a nonstick pan over medium to medium-high heat until hot, and add 1 tablespoon of oil. Add the pancake. Fry on both sides until golden brown.', 'Repeat with the remaining dough, chives, salt, eggs, and oil to make 3 additional pockets. Enjoy!']","['4', 'Calories: 453kcal (23%)', 'Carbohydrates: 58g (19%)', 'Protein: 14g (28%)', 'Fat: 19g (29%)', 'Saturated Fat: 3g (15%)', 'Polyunsaturated Fat: 5g', 'Monounsaturated Fat: 11g', 'Trans Fat: 0.1g', 'Cholesterol: 164mg (55%)', 'Sodium: 940mg (39%)', 'Potassium: 235mg (7%)', 'Fiber: 3g (12%)', 'Sugar: 1g (1%)', 'Vitamin A: 1545IU (31%)', 'Vitamin C: 18mg (22%)', 'Calcium: 69mg (7%)', 'Iron: 5mg (28%)']"
hot-dog-potato-salad,"['2½ pounds yukon gold potatoes', '5 standard bun length hot dogs (or 4 jumbo hot dogs)', '⅓ cup extra-virgin olive oil', '2 teaspoons dijon mustard', '½ – ¾ teaspoon sea salt (plus extra for salting the potato cooking water)', '¼ teaspoon black pepper', '3 small shallots (finely chopped)', '2 tablespoons capers (optional)', '3 tablespoons basil (julienned into ribbons)', '2 tablespoons finely chopped parsley', '2 tablespoons finely chopped chives']","['yukon gold potatoes', 'standard bun length hot dogs', 'extra-virgin olive oil', 'dijon mustard', 'sea salt', 'black pepper', 'small shallots', 'capers', 'basil', 'finely chopped parsley', 'finely chopped chives']","['Scrub the potatoes. If you have a mix of large and small potatoes, cut the large potatoes in half so that everything cooks roughly in the same amount of time.', 'Add the potatoes to a medium or large pot, and cover with water. Add a generous pinch of salt, and bring to a boil (you must start the potatoes in cold water, or they won’t cook properly). Cook for 20-30 minutes, until fork tender. Drain and cool on a cutting board. If you mix the potato salad when the potatoes are still warm, some of them will “mash.” Fully cooling them will give your potato salad a neater look.', 'While the potatoes are cooking, you can brown the hot dogs in a skillet with just a small drizzle of oil or grill them until they’re browned. Let the hot dogs cool slightly, then slice them on a diagonal into thick slices.', 'When the potatoes are cooled, cut them into 1-inch chunks. In a large bowl, whisk the olive oil, dijon mustard, and salt and pepper together. (Because the saltiness of hot dogs can vary by brand, we’ve provided a range for the salt.)', 'Add the potatoes, shallots, capers, basil, parsley, and chives. Toss everything together, and taste for seasoning. Add more salt and pepper if needed.']","['10', 'Calories: 214kcal (11%)', 'Carbohydrates: 25g (8%)', 'Protein: 5g (10%)', 'Fat: 11g (17%)', 'Saturated Fat: 2g (10%)', 'Polyunsaturated Fat: 1g', 'Monounsaturated Fat: 7g', 'Cholesterol: 10mg (3%)', 'Sodium: 334mg (14%)', 'Potassium: 546mg (16%)', 'Fiber: 3g (12%)', 'Sugar: 2g (2%)', 'Vitamin A: 131IU (3%)', 'Vitamin C: 25mg (30%)', 'Calcium: 26mg (3%)', 'Iron: 2mg (11%)']"
strawberry-bars,"['1 1/2 sticks salted butter (softened)', '3 tablespoons sugar', '1 teaspoon vanilla', '1 2/3 cups all-purpose flour', '10 ounces strawberry jam (about 1 jar—we used St. Dalfour jam)', '3/4 cup fresh strawberries (small-diced)']","['salted butter', 'sugar', 'vanilla', 'all-purpose flour', 'strawberry jam', 'fresh strawberries']","['Position a rack in the center of the oven and preheat to 350°F/175°C. Place butter, sugar, and vanilla in a bowl, and mix with a rubber spatula just until combined. It’s ok if there are still some small visible chunks of butter. Add the flour and mix with your hands until the dough comes together (some remaining crumbs are okay).', 'Take about two thirds of the dough, and press it evenly on the bottom of a 9-inch square baking pan. The dough layer will seem thin, but as long as it’s about ⅓-inch/8mm, that’s enough. Spread two thirds of the jam on top of the dough in the pan, leaving a ¼-inch/6mm border. Then spread the diced strawberries on top of the jam in a single layer. Spread the remaining jam on top of the strawberries. Break up the remaining dough into crumbles and sprinkle on top.', 'Bake for 40-45 minutes until lightly golden on top. Cool, slice into 12 bars, and enjoy! (We find these are great warm, but also delicious the next day after storing in the fridge in an airtight container).']","['12', 'Calories: 246kcal (12%)', 'Carbohydrates: 33g (11%)', 'Protein: 2g (4%)', 'Fat: 12g (18%)', 'Saturated Fat: 7g (35%)', 'Polyunsaturated Fat: 1g', 'Monounsaturated Fat: 3g', 'Trans Fat: 0.5g', 'Cholesterol: 30mg (10%)', 'Sodium: 99mg (4%)', 'Potassium: 54mg (2%)', 'Fiber: 1g (4%)', 'Sugar: 15g (17%)', 'Vitamin A: 354IU (7%)', 'Vitamin C: 7mg (8%)', 'Calcium: 12mg (1%)', 'Iron: 1mg (6%)']"
